,Cell IdX,Cell IdY,Cell IdZ,X [mm],Y [mm],Z [mm],Dose,FieldScalingFactor
72,2,3,0,-14.0,-10.0,2.0,0.00252436,0.3478350853778227
73,2,3,1,-14.0,-10.0,6.0,0.00252436,0.35223275462366244
74,2,3,2,-14.0,-10.0,10.0,0.00252436,0.35673638921770107
75,2,4,0,-14.0,-6.0,2.0,0.00252436,0.3476389573685066
76,2,4,1,-14.0,-6.0,6.0,0.00252436,0.35202954297410693
77,2,4,2,-14.0,-6.0,10.0,0.00252436,0.35652574925567
78,2,5,0,-14.0,-2.0,2.0,0.00252436,0.34734684598592475
79,2,5,1,-14.0,-2.0,6.0,0.00252436,0.35172688962491394
80,2,5,2,-14.0,-2.0,10.0,0.00252436,0.35621204150858127
81,0,3,3,-22.0,-10.0,14.0,0.00341587,0.36091593437130615
82,0,3,4,-22.0,-10.0,18.0,0.00341587,0.3656270264470289
83,0,3,5,-22.0,-10.0,22.0,0.00341587,0.3704554498685452
84,0,4,3,-22.0,-6.0,14.0,0.00341587,0.3607171258767425
85,0,4,4,-22.0,-6.0,18.0,0.00341587,0.3654207893629057
86,0,4,5,-22.0,-6.0,22.0,0.00341587,0.37024141038890246
87,0,5,3,-22.0,-2.0,14.0,0.00341587,0.3604117577503659
88,0,5,4,-22.0,-2.0,18.0,0.00341587,0.3651040191106614
89,0,5,5,-22.0,-2.0,22.0,0.00341587,0.36991266477544
90,1,3,3,-18.0,-10.0,14.0,0.00341587,0.36116470168957326
91,1,3,4,-18.0,-10.0,18.0,0.00341587,0.3658851162031085
92,1,3,5,-18.0,-10.0,22.0,0.00341587,0.3707233329115372
93,1,4,3,-18.0,-6.0,14.0,0.00341587,0.3609560411050622
94,1,4,4,-18.0,-6.0,18.0,0.00341587,0.3656686474693848
95,1,4,5,-18.0,-6.0,22.0,0.00341587,0.3704986623898159
96,1,5,3,-18.0,-2.0,14.0,0.00341587,0.360640640778255
97,1,5,4,-18.0,-2.0,18.0,0.00341587,0.3653414541313173
98,1,5,5,-18.0,-2.0,22.0,0.00341587,0.37015908210873993
99,2,3,3,-14.0,-10.0,14.0,0.00341587,0.36134985774271244
100,2,3,4,-14.0,-10.0,18.0,0.00341587,0.36607721900470513
101,2,3,5,-14.0,-10.0,22.0,0.00341587,0.3709227338442388
102,2,4,3,-14.0,-6.0,14.0,0.00341587,0.36113142361254724
103,2,4,4,-14.0,-6.0,18.0,0.00341587,0.3658506020884818
104,2,4,5,-14.0,-6.0,22.0,0.00341587,0.37068752104421954
105,2,5,3,-14.0,-2.0,14.0,0.00341587,0.3608061175808602
106,2,5,4,-14.0,-2.0,18.0,0.00341587,0.3655131200891118
107,2,5,5,-14.0,-2.0,22.0,0.00341587,0.37033724905127047
108,0,6,0,-22.0,2.0,2.0,0.00544498,0.34662315348904293
109,0,6,1,-22.0,2.0,6.0,0.00544498,0.3509771413276443
110,0,6,2,-22.0,2.0,10.0,0.00544498,0.3554349746510808
111,0,7,0,-22.0,6.0,2.0,0.00544498,0.34615900029837643
112,0,7,1,-22.0,6.0,6.0,0.00544498,0.35049632187737606
113,0,7,2,-22.0,6.0,10.0,0.00544498,0.35493668400980416
114,0,8,0,-22.0,10.0,2.0,0.00544498,0.34560099825454693
115,0,8,1,-22.0,10.0,6.0,0.00544498,0.3499183242535616
116,0,8,2,-22.0,10.0,10.0,0.00544498,0.3543377275615755
117,1,6,0,-18.0,2.0,2.0,0.00544498,0.3468196042209648
118,1,6,1,-18.0,2.0,6.0,0.00544498,0.35118065386320046
119,1,6,2,-18.0,2.0,10.0,0.00544498,0.35564589054202084
120,1,7,0,-18.0,6.0,2.0,0.00544498,0.34634620592884785
121,1,7,1,-18.0,6.0,6.0,0.00544498,0.3506902366612335
122,1,7,2,-18.0,6.0,10.0,0.00544498,0.35513763119221425
123,1,8,0,-18.0,10.0,2.0,0.00544498,0.34577883633514045
124,1,8,1,-18.0,10.0,6.0,0.00544498,0.35010251154288385
125,1,8,2,-18.0,10.0,10.0,0.00544498,0.35452856847332515
126,2,6,0,-14.0,2.0,2.0,0.00544498,0.34695923927678307
127,2,6,1,-14.0,2.0,6.0,0.00544498,0.3513253122393058
128,2,6,2,-14.0,2.0,10.0,0.00544498,0.35579581543516864
